ID,MONTHS_BALANCE,STATUS
5001711,0,X
5001711,-1,0
5001711,-2,0
5001711,-3,0
5001712,0,C
5001712,-1,C
5001712,-2,C
5001712,-3,C
5001712,-4,C
5001712,-5,C
5001712,-6,C
5001712,-7,C
5001712,-8,C
5001712,-9,0
5001712,-10,0
5001712,-11,0
5001712,-12,0
5001712,-13,0
5001712,-14,0
5001712,-15,0
5001712,-16,0
5001712,-17,0
5001712,-18,0
5001713,0,X
5001713,-1,X
5001713,-2,X
5001713,-3,X
5001713,-4,X
5001713,-5,X
5001713,-6,X
5001713,-7,X
5001713,-8,X
5001713,-9,X
5001713,-10,X
5001713,-11,X
5001713,-12,X
5001713,-13,X
5001713,-14,X
5001713,-15,X
5001713,-16,X
5001713,-17,X
5001713,-18,X
5001713,-19,X
5001713,-20,X
5001713,-21,X
5001714,0,X
5001714,-1,X
5001714,-2,X
5001714,-3,X
5001714,-4,X
5001714,-5,X
5001714,-6,X
5001714,-7,X
5001714,-8,X
5001714,-9,X
5001714,-10,X
5001714,-11,X
5001714,-12,X
5001714,-13,X
5001714,-14,X
5001715,0,X
5001715,-1,X
5001715,-2,X
5001715,-3,X
5001715,-4,X
5001715,-5,X
5001715,-6,X
5001715,-7,X
5001715,-8,X
5001715,-9,X
5001715,-10,X
5001715,-11,X
5001715,-12,X
5001715,-13,X
5001715,-14,X
5001715,-15,X
5001715,-16,X
5001715,-17,X
5001715,-18,X
5001715,-19,X
5001715,-20,X
5001715,-21,X
5001715,-22,X
5001715,-23,X
5001715,-24,X
5001715,-25,X
5001715,-26,X
5001715,-27,X
5001715,-28,X
5001715,-29,X
5001715,-30,X
5001715,-31,X
5001715,-32,X
5001715,-33,X
5001715,-34,X
5001715,-35,X
5001715,-36,X
5001715,-37,X
5001715,-38,X
5001715,-39,X
5001715,-40,X
5001715,-41,X
5001715,-42,X
5001715,-43,X
5001715,-44,X
5001715,-45,X
5001715,-46,X
5001715,-47,X
5001715,-48,X
5001715,-49,X
5001715,-50,X
5001715,-51,X
5001715,-52,X
5001715,-53,X
5001715,-54,X
5001715,-55,X
5001715,-56,X
5001715,-57,X
5001715,-58,X
5001715,-59,X
5001717,0,C
5001717,-1,C
5001717,-2,C
5001717,-3,C
5001717,-4,C
5001717,-5,0
5001717,-6,0
5001717,-7,0
5001717,-8,0
5001717,-9,0
5001717,-10,0
5001717,-11,0
5001717,-12,0
5001717,-13,0
5001717,-14,0
5001717,-15,0
5001717,-16,0
5001717,-17,0
5001717,-18,0
5001717,-19,0
5001717,-20,0
5001717,-21,0
5001718,0,C
5001718,-1,C
5001718,-2,C
5001718,-3,0
5001718,-4,0
5001718,-5,0
5001718,-6,0
5001718,-7,0
5001718,-8,1
5001718,-9,X
5001718,-10,0
5001718,-11,X
5001718,-12,1
5001718,-13,X
5001718,-14,0
5001718,-15,X
5001718,-16,X
5001718,-17,X
5001718,-18,0
5001718,-19,0
5001718,-20,0
5001718,-21,X
5001718,-22,0
5001718,-23,0
5001718,-24,0
5001718,-25,0
5001718,-26,0
5001718,-27,0
5001718,-28,X
5001718,-29,0
5001718,-30,X
5001718,-31,0
5001718,-32,0
5001718,-33,0
5001718,-34,0
5001718,-35,0
5001718,-36,0
5001718,-37,0
5001718,-38,X
5001719,0,C
5001719,-1,C
5001719,-2,C
5001719,-3,C
5001719,-4,C
5001719,-5,C
5001719,-6,C
5001719,-7,C
5001719,-8,C
5001719,-9,C
5001719,-10,C
5001719,-11,C
5001719,-12,C
5001719,-13,C
5001719,-14,C
5001719,-15,C
5001719,-16,C
5001719,-17,C
5001719,-18,C
5001719,-19,C
5001719,-20,C
5001719,-21,C
5001719,-22,C
5001719,-23,C
5001719,-24,C
5001719,-25,C
5001719,-26,C
5001719,-27,C
5001719,-28,C
5001719,-29,C
5001719,-30,C
5001719,-31,C
5001719,-32,C
5001719,-33,C
5001719,-34,C
5001719,-35,C
5001719,-36,C
5001719,-37,C
5001719,-38,C
5001719,-39,C
5001719,-40,C
5001719,-41,0
5001719,-42,0
5001720,0,1
5001720,-1,0
5001720,-2,0
5001720,-3,1
5001720,-4,1
5001720,-5,0
5001720,-6,1
5001720,-7,1
5001720,-8,0
5001720,-9,0
5001720,-10,0
5001720,-11,0
5001720,-12,0
5001720,-13,1
5001720,-14,0
5001720,-15,1
5001720,-16,0
5001720,-17,0
5001720,-18,0
5001720,-19,0
5001720,-20,0
5001720,-21,0
5001720,-22,0
